 LAT,     LON,   AMT, ID,     ST
37.78,-100.05,0.58,DCDK1   ,KS
38.87,-98.81,0.56,RSL     ,KS
39.82,-97.05,0.55,WMAK1   ,KS
37.79,-100.02,0.54,DCLK1   ,KS
38.65,-98.95,0.53,GTAK1   ,KS
38.34,-98.86,0.52,GBD     ,KS
37.7,-98.75,0.51,PTT     ,KS
38.45,-99.01,0.49,ALBK1   ,KS
39.55,-97.65,0.43,CNK     ,KS
39.56,-97.67,0.42,CONK1   ,KS
37.6,-100.44,0.41,MTZK1   ,KS
39.48,-98.1,0.38,BELK1   ,KS
39.83,-100.51,0.37,OBRK1   ,KS
37.66,-100.45,0.36,ZILK1   ,KS
38.19,-99.92,0.35,JTMK1   ,KS
39.67,-98.15,0.34,JWLK1   ,KS
38.97,-98.49,0.33,WLSK1   ,KS
38.71,-99.29,0.32,SCSK1   ,KS
38.59,-99.57,0.31,MCCK1   ,KS
39.51,-98.43,0.3,CAWK1   ,KS
37.04,-100.96,0.29,LBL     ,KS
39.19,-99.04,0.28,NTAK1   ,KS
38.86,-99.34,0.27,HASK1   ,KS
37.43,-100.99,0.26,ZKAK1   ,KS
37.6,-101.29,0.25,ULYK1   ,KS
39.78,-98.78,0.23,SMCK1   ,KS
39.37,-101.45,0.22,BRWK1   ,KS
40,-99.99,0.21,NCRK1   ,KS
39.79,-101.08,0.2,ATDK1   ,KS
39.44,-99.1,0.19,WODK1   ,KS
37.9,-101.45,0.18,AMAK1   ,KS
39.45,-98.7,0.16,OSBK1   ,KS
38.67,-99.79,0.15,BROK1   ,KS
39.37,-99.58,0.14,DMRK1   ,KS
38.05,-100.13,0.13,ZLMK1   ,KS
39.57,-99.28,0.12,SKTK1   ,KS
39.44,-98.85,0.11,ATNK1   ,KS
39.11,-100.95,0.1,OAKK1   ,KS
39.64,-99.74,0.08,DNSK1   ,KS
39.38,-99.83,0.07,HLC     ,KS
37.97,-101.75,0.06,SYRK1   ,KS
38.66,-101.71,0.05,GRWK1   ,KS
39.77,-100.1,0.03,CLNK1   ,KS
37.05,-97.07,0.01,ARCK1   ,KS
